SSL_SCORE,PREDICTOR_RAT_AGE_AT_LATEST_ARREST,PREDICTOR_RAT_VICTIM_SHOOTING_INCIDENTS,SEX_CODE_CD,PREDICTOR_RAT_VICTIM_BATTERY_OR_ASSAULT,PREDICTOR_RAT_ARRESTS_VIOLENT_OFFENSES,PREDICTOR_RAT_GANG_AFFILIATION,PREDICTOR_RAT_NARCOTIC_ARRESTS,PREDICTOR_RAT_TREND_IN_CRIMINAL_ACTIVITY,PREDICTOR_RAT_UUW_ARRESTS,RACE_CODE_CD,SSL_SCORE_RANK
478,30-40,1,M,6,1,1,0,-0.6,1,0,296
471,30-40,0,M,0,0,1,22,-1.8,0,0,363
456,30-40,2,M,0,0,1,16,2.4,0,0,579
456,30-40,2,M,2,0,1,6,1.5,0,0,579
447,30-40,1,M,2,2,1,6,-2.6,0,0,749
444,30-40,1,M,1,3,1,0,0.5,3,0,827
439,30-40,2,M,3,0,1,3,0.6,0,0,982
436,30-40,0,M,0,0,1,23,1.0,0,0,1081
433,30-40,2,M,2,0,1,1,0.2,0,0,1183
430,30-40,2,M,3,2,1,2,-0.5,2,0,1302
424,30-40,2,M,1,2,1,5,0.3,1,0,1602
421,30-40,1,M,1,3,1,7,-0.7,0,0,1755
415,30-40,0,M,0,2,1,15,3.5,0,0,2168
412,30-40,2,M,2,1,1,0,0.4,1,0,2375
411,30-40,1,M,2,1,1,0,1.0,1,0,2462
408,30-40,0,M,1,1,1,0,1.3,1,0,2725
399,30-40,1,M,1,2,0,0,0.3,1,0,3722
397,30-40,0,M,0,1,1,20,0.3,0,0,3965
393,30-40,0,M,0,1,1,2,-0.3,1,0,4499
391,30-40,0,F,2,0,0,0,0.0,0,0,4811
390,30-40,2,M,2,0,1,5,-1.1,0,0,4974
390,30-40,0,F,0,0,0,2,0.5,0,0,4974
388,30-40,0,M,3,0,0,1,0.4,0,0,5342
388,30-40,0,M,0,1,1,14,0.4,0,0,5342
388,30-40,0,M,0,1,0,14,6.2,1,0,5342
