SSL_SCORE,PREDICTOR_RAT_AGE_AT_LATEST_ARREST,PREDICTOR_RAT_VICTIM_SHOOTING_INCIDENTS,SEX_CODE_CD,PREDICTOR_RAT_VICTIM_BATTERY_OR_ASSAULT,PREDICTOR_RAT_ARRESTS_VIOLENT_OFFENSES,PREDICTOR_RAT_GANG_AFFILIATION,PREDICTOR_RAT_NARCOTIC_ARRESTS,PREDICTOR_RAT_TREND_IN_CRIMINAL_ACTIVITY,PREDICTOR_RAT_UUW_ARRESTS,RACE_CODE_CD,SSL_SCORE_Rank
485,less than 20,1,M,1,3,1,8,2.2,1,0,236
485,less than 20,1,M,3,1,1,0,0.6,0,1,236
484,less than 20,0,M,0,4,1,0,1.4,1,0,242
484,less than 20,0,M,0,0,1,18,4.6,0,0,242
484,less than 20,1,M,2,2,1,0,1.4,1,0,242
484,less than 20,2,M,2,0,1,3,-0.1,0,0,242
483,less than 20,0,M,0,3,1,7,1.6,1,0,247
483,less than 20,2,M,3,1,1,2,-0.5,1,0,247
483,less than 20,0,M,1,4,1,0,1.4,1,0,247
483,less than 20,2,M,2,2,1,5,0.5,0,0,247
483,less than 20,2,M,2,2,1,2,1.0,0,0,247
483,less than 20,0,M,2,3,1,2,0.8,0,0,247
483,less than 20,1,M,2,2,1,0,3.0,0,0,247
483,less than 20,0,M,0,3,1,1,-1.0,3,0,247
482,less than 20,0,M,0,7,1,1,0.2,0,0,258
482,less than 20,1,M,1,5,0,0,-0.1,1,0,258
482,less than 20,0,M,0,1,0,1,-0.1,1,0,258
482,less than 20,1,M,1,0,1,0,0.6,0,0,258
482,less than 20,0,M,0,4,1,2,2.3,0,0,258
481,less than 20,1,F,3,3,0,0,0.2,0,0,266
481,less than 20,1,M,1,0,0,1,0.7,0,0,266
481,less than 20,1,M,1,0,1,9,-0.2,0,0,266
481,less than 20,1,M,1,3,1,0,-1.4,2,0,266
481,less than 20,0,M,0,8,1,0,1.9,0,0,266
481,less than 20,2,M,2,0,1,1,1.2,0,0,266
481,less than 20,0,M,0,2,1,12,3.2,1,0,266
481,less than 20,1,M,1,2,1,0,1.8,1,0,266
480,less than 20,0,M,3,3,1,1,-2.2,1,0,277
480,less than 20,0,M,0,2,0,0,0.4,0,0,277
480,less than 20,2,M,2,3,1,1,-0.8,0,0,277
480,less than 20,0,M,1,1,0,0,-0.1,0,0,277
480,less than 20,1,M,1,4,1,1,-0.9,0,0,277
480,less than 20,0,M,0,9,1,0,-1.5,2,0,277
480,less than 20,2,M,2,0,1,3,-0.6,0,0,277
479,less than 20,1,M,2,6,1,1,-1.5,1,0,286
479,less than 20,0,M,0,3,0,1,0.5,1,0,286
479,less than 20,1,M,1,4,1,1,-0.8,0,0,286
479,less than 20,0,M,3,2,1,1,0.1,1,0,286
479,less than 20,0,M,1,3,1,0,-1.0,0,0,286
479,less than 20,1,M,1,4,1,0,2.2,0,0,286
479,less than 20,0,M,0,3,1,4,-0.3,0,0,286
479,less than 20,1,M,1,1,1,13,3.2,0,0,286
478,less than 20,0,M,1,0,0,0,0.2,0,0,296
478,less than 20,1,M,1,5,1,0,0.2,0,0,296
478,less than 20,0,M,0,8,1,0,4.6,0,0,296
478,less than 20,1,M,1,4,0,0,-0.4,2,0,296
477,less than 20,0,M,0,5,1,0,-0.5,2,0,301
477,less than 20,1,M,1,1,1,0,2.0,1,0,301
477,less than 20,1,M,1,1,1,5,0.3,0,0,301
477,less than 20,0,M,0,4,1,1,1.0,1,0,301
477,less than 20,1,M,2,1,1,4,3.1,0,0,301
477,less than 20,1,F,1,5,0,0,1.3,0,0,301
477,less than 20,2,M,2,1,1,0,0.1,0,0,301
476,less than 20,1,M,1,3,1,3,-1.1,3,0,308
476,less than 20,0,M,0,5,1,1,1.9,0,0,308
476,less than 20,0,M,0,1,1,15,-3.1,0,0,308
476,less than 20,0,M,1,4,1,0,0.0,2,0,308
476,less than 20,2,M,1,1,1,2,-1.3,0,0,308
476,less than 20,1,M,2,2,1,0,0.5,1,0,308
476,less than 20,1,M,1,0,1,4,-2.7,0,0,308
476,less than 20,1,M,2,3,1,1,-0.3,1,0,308
476,less than 20,0,M,1,1,1,0,2.1,1,0,308
476,less than 20,1,M,1,0,1,8,2.0,0,0,308
475,less than 20,0,M,0,3,1,4,0.3,0,0,319
475,less than 20,0,M,0,7,1,0,0.7,1,0,319
475,less than 20,2,M,2,2,1,0,0.5,0,0,319
475,less than 20,0,M,0,3,1,3,0.6,1,0,319
475,less than 20,0,M,2,3,1,0,1.6,3,0,319
475,less than 20,1,M,1,3,1,5,0.5,0,0,319
475,less than 20,3,M,3,1,1,0,0.0,0,0,319
475,less than 20,0,M,1,0,1,14,3.4,0,0,319
475,less than 20,0,M,1,2,1,1,0.3,1,0,319
475,less than 20,1,M,2,2,1,0,0.7,1,0,319
475,less than 20,0,M,1,3,1,0,0.8,1,0,319
475,less than 20,1,M,1,4,1,3,-0.4,1,0,319
474,less than 20,2,M,2,2,1,3,-0.7,0,0,334
474,less than 20,1,M,1,5,1,1,0.4,1,0,334
